spending,xx,yy,total,budget
Housing,10,10,94,in budget
Housing,20,10,94,in budget
Housing,30,10,94,in budget
Housing,40,10,94,in budget
Housing,50,10,94,in budget
Housing,60,10,94,in budget
Housing,70,10,94,in budget
Housing,80,10,94,in budget
Housing,90,10,94,in budget
Housing,100,10,94,in budget
Housing,10,20,94,in budget
Housing,20,20,94,in budget
Housing,30,20,94,in budget
Housing,40,20,94,in budget
Housing,50,20,94,in budget
Housing,60,20,94,in budget
Housing,70,20,94,in budget
Housing,80,20,94,in budget
Housing,90,20,94,in budget
Housing,100,20,94,in budget
Housing,10,30,94,in budget
Housing,20,30,94,in budget
Housing,30,30,94,in budget
Housing,40,30,94,in budget
Housing,50,30,94,in budget
Housing,60,30,94,in budget
Housing,70,30,94,in budget
Housing,80,30,94,in budget
Housing,90,30,94,in budget
Housing,100,30,94,in budget
Housing,10,40,94,in budget
Housing,20,40,94,in budget
Housing,30,40,94,in budget
Housing,40,40,94,in budget
Housing,50,40,94,in budget
Housing,60,40,94,in budget
Housing,70,40,94,in budget
Housing,80,40,94,in budget
Housing,90,40,94,in budget
Housing,100,40,94,in budget
Housing,10,50,94,in budget
Housing,20,50,94,in budget
Housing,30,50,94,in budget
Housing,40,50,94,in budget
Housing,50,50,94,in budget
Housing,60,50,94,in budget
Housing,70,50,94,in budget
Housing,80,50,94,in budget
Housing,90,50,94,in budget
Housing,100,50,94,in budget
Housing,10,60,94,in budget
Housing,20,60,94,in budget
Housing,30,60,94,in budget
Housing,40,60,94,in budget
Housing,50,60,94,in budget
Housing,60,60,94,in budget
Housing,70,60,94,in budget
Housing,80,60,94,in budget
Housing,90,60,94,in budget
Housing,100,60,94,in budget
Housing,10,70,94,in budget
Housing,20,70,94,in budget
Housing,30,70,94,in budget
Housing,40,70,94,in budget
Housing,50,70,94,in budget
Housing,60,70,94,in budget
Housing,70,70,94,in budget
Housing,80,70,94,in budget
Housing,90,70,94,in budget
Housing,100,70,94,in budget
Housing,10,80,94,in budget
Housing,20,80,94,in budget
Housing,30,80,94,in budget
Housing,40,80,94,in budget
Housing,50,80,94,in budget
Housing,60,80,94,in budget
Housing,70,80,94,in budget
Housing,80,80,94,in budget
Housing,90,80,94,in budget
Housing,100,80,94,in budget
Housing,10,90,94,in budget
Housing,20,90,94,in budget
Housing,30,90,94,in budget
Housing,40,90,94,in budget
Housing,50,90,94,in budget
Housing,60,90,94,in budget
Housing,70,90,94,in budget
Housing,80,90,94,in budget
Housing,90,90,94,in budget
Housing,100,90,94,in budget
Housing,10,100,94,in budget
Housing,20,100,94,in budget
Housing,30,100,94,in budget
Housing,40,100,94,in budget
Food,50,100,36,in budget
Food,60,100,36,in budget
Food,70,100,36,in budget
Food,80,100,36,in budget
Food,90,100,36,in budget
