spending,xx,yy,total
housing,10,10,21%
housing,20,10,21%
housing,30,10,21%
housing,40,10,21%
housing,50,10,21%
housing,60,10,21%
housing,70,10,21%
housing,80,10,21%
housing,90,10,21%
housing,100,10,21%
housing,10,20,21%
housing,20,20,21%
housing,30,20,21%
housing,40,20,21%
housing,50,20,21%
housing,60,20,21%
housing,70,20,21%
housing,80,20,21%
housing,90,20,21%
housing,100,20,21%
housing,10,30,21%
food,20,30,8%
food,30,30,8%
food,40,30,8%
food,50,30,8%
food,60,30,8%
food,70,30,8%
food,80,30,8%
food,90,30,8%
transportation,100,30,11%
transportation,10,40,11%
transportation,20,40,11%
transportation,30,40,11%
transportation,40,40,11%
transportation,50,40,11%
transportation,60,40,11%
transportation,70,40,11%
transportation,80,40,11%
transportation,90,40,11%
transportation,100,40,11%
healthcare,10,50,5%
healthcare,20,50,5%
healthcare,30,50,5%
healthcare,40,50,5%
healthcare,50,50,5%
apparel,60,50,3%
apparel,70,50,3%
apparel,80,50,3%
education,90,50,2%
education,100,50,2%
entertainment,10,60,4%
entertainment,20,60,4%
entertainment,30,60,4%
entertainment,40,60,4%
miscellaneous,50,60,17%
miscellaneous,60,60,17%
miscellaneous,70,60,17%
miscellaneous,80,60,17%
miscellaneous,90,60,17%
miscellaneous,100,60,17%
miscellaneous,10,70,17%
miscellaneous,20,70,17%
miscellaneous,30,70,17%
miscellaneous,40,70,17%
miscellaneous,50,70,17%
miscellaneous,60,70,17%
miscellaneous,70,70,17%
miscellaneous,80,70,17%
miscellaneous,90,70,17%
miscellaneous,100,70,17%
miscellaneous,10,80,17%
 ,20,80,
 ,30,80,
 ,40,80,
 ,50,80,
 ,60,80,
 ,70,80,
 ,80,80,
 ,90,80,
 ,100,80,
 ,10,90,
 ,20,90,
 ,30,90,
 ,40,90,
 ,50,90,
 ,60,90,
 ,70,90,
 ,80,90,
 ,90,90,
 ,100,90,
 ,10,100,
 ,20,100,
 ,30,100,
 ,40,100,
 ,50,100,
 ,60,100,
 ,70,100,
 ,80,100,
 ,90,100,
 ,100,100,
 ,10,110,
 ,20,110,
 ,30,110,
 ,40,110,
 ,50,110,
 ,60,110,
 ,70,110,
 ,80,110,
 ,90,110,
 ,100,110,
 ,10,120,
 ,20,120,
 ,30,120,
 ,40,120,
 ,50,120,
 ,60,120,
 ,70,120,
 ,80,120,
 ,90,120,
 ,100,120,
 ,10,130,
 ,20,130,
 ,30,130,
 ,40,130,
 ,50,130,
 ,60,130,
 ,70,130,
 ,80,130,
 ,90,130,
 ,100,130,
 ,10,140,
 ,20,140,
 ,30,140,
 ,40,140,
 ,50,140,
 ,60,140,
 ,70,140,
 ,80,140,
 ,90,140,
 ,100,140,
 ,10,150,
 ,20,150,
 ,30,150,
 ,40,150,
 ,50,150,
 ,60,150,
 ,70,150,
 ,80,150,
 ,90,150,
 ,100,150,
 ,10,160,
 ,20,160,
 ,30,160,
 ,40,160,
 ,50,160,
 ,60,160,
 ,70,160,
 ,80,160,
 ,90,160,
 ,100,160,
 ,10,170,
 ,20,170,
 ,40,170,
 ,30,170,
 ,50,170,
 ,60,170,
 ,70,170,
 ,80,170,
 ,90,170,
 ,100,170,
 ,10,180,
 ,20,180,
 ,30,180,
 ,40,180,
 ,50,180,
 ,60,180,
 ,70,180,
 ,80,180,
 ,90,180,
 ,100,180,
 ,10,190,
 ,20,190,
 ,30,190,
 ,40,190,
 ,50,190,
 ,60,190,
 ,70,190,
 ,80,190,
 ,90,190,
 ,100,190,
 ,10,200,
 ,20,200,
 ,30,200,
 ,40,200,
 ,50,200,
 ,60,200,
 ,70,200,
 ,80,200,
 ,90,200,
 ,100,200,
 ,10,210,
 ,20,210,
 ,30,210,
 ,40,210,
 ,50,210,
 ,60,210,
 ,70,210,
 ,80,210,
 ,90,210,
 ,100,210,
 ,10,220,
 ,20,220,
 ,30,220,
 ,40,220,
 ,50,220,
 ,60,220,
 ,70,220,
 ,80,220,
 ,90,220,
 ,100,220,
 ,10,230,
 ,20,230,
 ,30,230,
 ,40,230,
 ,50,230,
 ,60,230,
 ,70,230,
 ,80,230,
 ,90,230,
 ,100,230,
 ,10,240,
 ,20,240,
 ,30,240,
 ,40,240,
 ,50,240,
