date,miscellaneous,entertainment,apparel,healthcare,education,transportation,food,housing,
1990,17,5,7,5,1,18,15,30,
1991,17,5,7,5,1,17,14,30,
1992,16,5,7,5,1,17,14,31,
1993,16,6,6,6,1,17,14,30,
1994,16,5,6,5,1,18,13,31,
1995,15,5,6,5,1,18,13,31,
1996,16,6,6,5,2,18,13,31,
1997,15,5,6,5,2,18,13,31,
1998,15,5,5,5,2,17,13,31,
1999,15,5,5,5,2,17,12,30,
2000,15,5,6,5,2,18,12,30,
2001,14,5,5,5,1,17,12,29,
2002,14,5,5,5,2,17,11,28,
2003,14,5,4,5,2,16,11,28,
2004,15,4,5,5,2,15,11,27,
2005,15,4,4,5,2,15,11,27,
2006,15,4,4,5,2,15,11,28,
2007,14,5,4,5,2,14,10,28,
2008,14,5,4,5,2,14,10,28,
2009,15,5,4,5,2,13,10,28,
2010,14,4,4,5,2,13,10,27,
2011,14,4,4,5,2,13,10,27,
2012,14,4,4,6,2,14,10,27,
2013,16,5,4,6,2,16,12,30,
2014,16,5,4,7,2,16,12,30,
2015,16,5,4,7,2,16,12,30,
2016,17,5,4,7,2,14,11,29,
2017,17,5,4,8,2,15,12,31,
2018,17,5,4,7,2,15,12,30,
2019,15,4,4,7,2,15,11,29,
